Прізвище Ім*я;По батькові;Стать;Дата народження;Посада;Місто проживання;Адреса проживання;Телефон;Email
Заїка Демид;Махайлович;чоловік;01-09-1942;Режисер;село Лубни;площа Тимірязєва 4-й, буд. 191, Миргород, 16776;017 460-19-87;rhabelko@example.net
Москаль Борислав;Михайлович;чоловік;25-07-2005;Ювелір;місто Ірміно;узвіз Обільна, буд. 9 кв. 819, Нове Давидково, 48395;+380 (10) 102-17-51;myron94@example.com
Бабариченко Аніта;Валеріївна;жінка;28-11-1962;Кушнір;село Первомайський ;площа Льва Симиренка, буд. 284 кв. 403, Святогірськ, 45098;863-63-72;iaremacherinko@example.net
Демʼянюк Світлана;Віталівна;жінка;06-01-1938;Електрик;селище Моспине;шосе Молодіжна, буд. 3 кв. 737, Болград, 22036;+380 10 860-02-52;vladyslavdavymuka@example.org
Шило Соломон;Григорович;чоловік;05-09-1957;Клоун;село Тетіїв;проспект Трамвайний, буд. 457 кв. 4, Ічня, 15238;006 055 44 86;dmytrolytvynenko@example.net
Ісаєнко Анжела;Юріївна;жінка;30-11-1937;Кухар;село Судак ;узвіз Олексіївська, буд. 8, Сватове, 90500;+380 79 124-11-16;ostapchukvalentyna@example.com
Вишиваний Вікторія;Махайлівна;жінка;13-03-1997;Будник;селище Ічня;площа Миколи Боровського, буд. 08 кв. 496, Керч, 32637;073 206-75-59;yderhach@example.org
Євтушок Соломон;Юрійович;чоловік;15-04-1954;Льотчик;село Новомосковськ;проспект 3-тя Лінія 4-ї ст. Люстдорфської дороги, буд. 71 кв. 097, Кременець, 65230;+380 49 506 01 19;svitlanamatiash@example.com
Андрейко Франц;Вікторович;чоловік;18-12-1969;Акушер;селище Василівка ;проспект Отамана Чепіги, буд. 291 кв. 947, Горлівка, 07379;605-92-52;upoltavets@example.org
Назаренко Охрім;Махайлович;чоловік;03-05-1948;Петрограф;село Арциз;площа Флотський 1-й, буд. 523 кв. 738, Березівка, 53842;306-72-02;sdemianiuk@example.com
Ковпак Антон;Григорович;чоловік;13-11-1986;Дизайнер;місто Чугуїв;вулиця Пушкінська, буд. 8 кв. 7, Жашків, 10169;+380 44 336 20 33;pbalaban@example.org
Абрамчук Франц;Дмитрович;чоловік;16-03-1999;Стропальник;хутір Бобровиця;парк Слов'янська, буд. 5 кв. 328, Стрий, 52062;915 46 62;vlokhhryhorii@example.net
Пушкар Антон;Михайлович;чоловік;12-10-1955;М'ясник;місто Білгород-Дністровський;парк Бахчева, буд. 871, Федорівка, 99786;+380 85 402-02-36;mykhaliukmarko@example.com
Кабаненко Ростислав;Махайлович;чоловік;21-08-1950;Етнограф;хутір Кременець;парк Тираспольська, буд. 996, Кобеляки, 31752;+380 16 978-95-98;mamchurvasyl@example.com
Супруненко Володимир;Махайлович;чоловік;12-01-1973;Патологоанатом;селище Перемишляни;узвіз Майстерний, буд. 7 кв. 2, Ромни, 91394;669 31 39;valentyna10@example.com
Дубенко Леонід;Махайлович;чоловік;25-03-1957;Пекар;хутір Миколаївка ;шосе Павла Кравцова, буд. 090 кв. 8, Добромиль, 74591;087-31-43;akadeniuk@example.com
Бабиченко Едуард;Володимирович;чоловік;10-10-1952;Астрофізик;селище Бучач;проспект Заводська 4-та, буд. 120 кв. 10, Бунге , 49787;+380 03 007 08 15;asaulamykolai@example.org
Яковенко Софія;Іванівна;жінка;26-09-1970;Провізор;хутір Нетішин;узвіз 4-та Лінія 6-й ст. Люстдорфської дороги, буд. 772 кв. 841, Гадяч, 47834;+380 (12) 744-65-69;dderhach@example.org
Безбородько Єлисавета;Махайлівна;жінка;08-01-1986;Дантист;селище Васильків;провулок Гвоздична, буд. 112, Богуслав, 82715;307-22-60;bohuslava35@example.org
Фастенко Венедикт;Анатолійович;чоловік;19-11-1961;Паралегал;місто Костянтинівка;проспект Кустанайська, буд. 25, Кодима, 67354;+380 04 633 80 30;bohdannabatih@example.net
Байрак Марина;Сергіївна;жінка;09-09-2001;Філолог;село Славутич;провулок Восьмого березня 4-й, буд. 18, Буськ, 26405;308 70 24;teslenkobohdanna@example.org
Яценюк Віктор;Григорович;чоловік;21-07-1967;Громадський діяч;хутір Вільнянськ;проспект Академіка Філатова, буд. 54, Федорівка, 23660;+380 33 388-08-50;oksana47@example.net
Петренко Леопольд;Валерійович;чоловік;24-07-1945;Математик;селище Жданівка;сквер Басейний 4-й, буд. 8, Кобеляки, 34935;092 140 87 77;illia42@example.net
Архимович Амвросій;Іванович;чоловік;07-06-1977;Художник;місто Тальне;узвіз Савицький, буд. 1, Виноградів, 80245;403 22 32;bohdan13@example.com
Девдюк Вʼячеслав;Андрійович;чоловік;31-08-1941;Сценарист;місто Шахтарськ;узвіз Інтернаціональний, буд. 08, Покров, 09258;078 419 98 58;bvlasenko@example.com
Іващенко Тетяна;Михайлівна;жінка;11-08-1990;Євнух;селище Охтирка;шосе Сільська, буд. 512 кв. 3, Переяслав, 91320;+380 75 118-37-24;bohuslavaovsiienko@example.org
Цимбал Оксенія;Михайлівна;жінка;04-03-2007;Літературознавець;хутір Маріуполь;парк Перепечка, буд. 07 кв. 083, Хорол , 63839;706 55 98;ievhenmedvedenko@example.org
Петрик Камілла;Володимирівна;жінка;15-04-1948;Кіноактор;місто Жовті Води;набережна Прохоровська, буд. 87, Ананьїв, 13826;295-51-15;prokhirromanets@example.com
Девдюк Стефан;Махайлович;чоловік;22-12-2007;Модель;хутір Володимир-Волинський;площа Ромашкова, буд. 322, Малин, 90288;008 818-29-38;zasiadkoleontii@example.com
Якимчук Герман;Васильович;чоловік;26-12-1992;М'ясник;хутір Вишневе ;парк Олександра Кутузакія, буд. 103, Яготин, 09428;150-91-63;chrechko@example.com
Джунь Сергій;Михайлович;чоловік;31-01-1956;Дантист;село Добромиль;узвіз Лінія 50-та, буд. 4 кв. 2, Кривий Ріг, 26010;+380 (21) 181-04-75;khrystynalemeshko@example.org
Алексеєнко Анастасія;Юріївна;жінка;26-07-1962;Прокурор;селище Курахове;узвіз Каркашадзе, буд. 585 кв. 924, Гнівань, 71795;639 07 04;nmamchur@example.net
Засенко Ярослава;Сергіївна;жінка;23-04-1951;Сантехнік;село Жашків;вулиця Миколи Бажана, буд. 90, Умань, 13621;103 36 07;zieromenko@example.net
Удовиченко Мирослав;Анатолійович;чоловік;18-04-1982;Секретар;село Прилуки;вулиця Бірюкова, буд. 2, Мукачево, 96467;+380 29 333-67-00;rebrykazar@example.net
Лубенець Юстина;Олександрівна;жінка;16-04-1954;Ветеринар;хутір Радивилів;узвіз Павла Кравцова, буд. 01, Підгородне, 91931;071 004-74-01;liashkooles@example.org
Коваленко Юстина;Володимирівна;жінка;14-08-1994;Бізнесмен;селище Ірміно;провулок Мала, буд. 08, Гірське, 60652;690-62-00;vermenychbohdanna@example.net
Негода Борислав;Тимофійович;чоловік;02-05-1962;Перекладач;село Теребовля;шосе Наявний 7-й, буд. 845 кв. 275, Привілля, 32184;+380 93 344-90-28;diatseniuk@example.net
Ребрик Надія;Іванівна;жінка;01-10-1973;Шериф;село Стебник;узвіз Бессарабська, буд. 5 кв. 5, Ромни, 08269;+380 72 485 44 79;leopold75@example.com
Верес Лілія;Миколайович;жінка;16-08-1983;Кур'єр;місто Вугледар;проспект Спартаківський, буд. 2, Рубіжне, 32560;021 470 41 58;haidaidanylo@example.org
Ляшко Олена;Махайлівна;жінка;27-08-2003;Круп'є;селище Шпола;сквер Шевченка, буд. 74 кв. 436, Яготин, 31321;057 016 64 03;tmykhailychenko@example.net
Христенко Герман;Валерійович;чоловік;19-05-1940;Прокурор;селище Курахове;сквер Горбатий міст, буд. 2 кв. 0, Немирів, 05004;023 881 79 79;kashchenkonazar@example.org
Яремко Едита;Тимофіївна;жінка;24-02-1971;Ґрунтознавець;село Угнів;набережна Мечникова, буд. 59, Яготин, 57472;+380 30 845-55-57;avrelii44@example.net
Пилипенко Демʼян;Григорович;чоловік;17-09-1954;Круп'є;село Боярка;сквер Манежний, буд. 3 кв. 235, Любомль, 78097;+380 69 414-26-96;oliinykarsen@example.com
Артимишин Альбіна;Михайлівна;жінка;10-09-2001;Намотувальник;хутір Київ;узвіз Глазунова, буд. 8 кв. 30, Покров, 57811;+380 50 582-69-17;pdatsenko@example.com
Сіробаба Соломон;Васильович;чоловік;15-09-1978;Будник;селище Нікополь;шосе Добровольського, буд. 291 кв. 7, Рахів, 96012;+380 59 363-10-32;boryslavovsiienko@example.com
Кармалюк Мартин;Юрійович;чоловік;09-05-1958;Соціолог;селище Помічна;проспект Трояндова, буд. 809, Молочанськ, 02333;+380 00 640 83 00;trokhym73@example.net
Василенко Святослава;Володимирівна;жінка;17-05-1994;Астрофізик;хутір Жовті Води;набережна Заводська 1-ша, буд. 081, Ізмаїл, 77448;+380 23 173-53-95;tymofii82@example.net
Наливайко Андрій;Валерійович;чоловік;11-06-1959;М'ясник;село Жовква;сквер Кришталева, буд. 2 кв. 911, Новий Буг, 76530;082 454-00-09;vnesterenko@example.com
Чумак Володимир;Дмитрович;чоловік;16-10-1970;Публіцист;селище Гайворон;сквер Чорноморка, буд. 177 кв. 9, Комарно, 61383;+380 05 684 95 82;danna02@example.net
Шаповал Азар;Олександрович;чоловік;24-09-1956;Сценарист;село Вишгород;сквер Прохоровський, буд. 74, Охтирка, 27906;064 795 32 90;rzhadan@example.com
Євдокименко Мілена;Махайлівна;жінка;28-12-1969;Гірник;селище Трускавець;проспект Леваневського, буд. 7 кв. 9, Новомиргород, 69853;033 723 37 37;hmazur@example.net
Щорс Олесь;Юрійович;чоловік;28-05-2005;Письменник;місто Мерефа;шосе Сєрова, буд. 4 кв. 3, Надвірна, 66330;061 135 92 21;kvdovychenko@example.com
Міщенко Борислав;Іванович;чоловік;05-09-1961;Археолог;місто Бобровиця;набережна Трамвайна, буд. 9 кв. 794, Березівка, 50136;+380 (19) 306-32-82;davydtymchuk@example.org
Скирда Богданна;Василівна;жінка;07-10-1944;Публіцист;місто Дубровиця;площа Чернігівський, буд. 53 кв. 5, Нова Каховка, 85966;+380 27 106-05-76;dnosenko@example.net
Юрчук Юстина;Анатоліївна;жінка;10-01-1980;Бухгалтер;селище Чорноморськ;парк Прохоровський, буд. 75, Тростянець, 38329;637 65 08;venhrynovychroman@example.org
Юрчишин Леон;Миколайович;чоловік;12-10-1972;Лікар;хутір Вознесенськ;узвіз Каштанова, буд. 6 кв. 7, Остер , 83236;+380 69 270-42-03;hodunokhalyna@example.net
Деряжний Амалія;Сергіївна;жінка;09-01-1948;Соціолог;селище Перемишляни;парк Побратимів, буд. 5, Ічня, 03005;067 632-16-46;khrytsenko@example.org
Воблий Тарас;Миколайович;чоловік;28-03-1985;Фольклорист;село Умань;проспект Крижанівський, буд. 386, Кременець, 73210;+380 (56) 906-65-47;vtereshchuk@example.com
Філіпенко Віктор;Дмитрович;чоловік;12-10-1985;Астрофізик;місто Житомир;набережна Яблочкіної, буд. 7 кв. 875, Великі Мости, 59657;+380 14 783 38 60;solomiia21@example.com
Жук Володимира;Тимофіївна;жінка;03-07-2005;Публіцист;селище Ананьїв;парк Ползунова 1-й, буд. 303 кв. 955, Миколаїв, 17977;+380 18 365-05-53;qkhomenko@example.com
Верес Леон;Олегович;чоловік;27-12-1942;Архітектор;селище Слов'янськ;проспект Виноградний, буд. 83 кв. 25, Борислав, 83206;448 99 37;iatsenkoarkadii@example.com
Гузій Ганна;Анатоліївна;жінка;05-07-2004;Соціолог;село Білицьке;парк Республіканська, буд. 75, Угнів, 52438;375 37 44;kovpakamaliia@example.org
Хоменко Данна;Вікторівна;жінка;21-01-2002;Історик;місто Болград;узвіз Поперечний, буд. 4, Жовті Води, 49952;399 11 81;marynaivasiuk@example.net
Андрощук Ілля;Олегович;чоловік;08-08-1986;Педагог;хутір Комарно;шосе Пересипська 6-та, буд. 81 кв. 2, Шпола, 82284;073 845-25-56;artymovychnestor@example.com
Пелех Марія;Андріївна;жінка;28-07-1953;Фольклорист;селище Кам'янка (Черкаська область);проспект Львівська, буд. 593 кв. 03, Сколе, 56495;+380 38 207-07-53;varvarachubai@example.com
Чубай Венедикт;Сергійович;чоловік;25-12-1993;Астронавт;хутір Боярка;вулиця 10-та Лінія 6-й ст. Люстдорфської дороги, буд. 63, Суходільськ, 69915;057 285-05-97;serhiiiesypenko@example.net
Баранець Зорян;Анатолійович;чоловік;29-06-1976;Історик;селище Харцизьк;шосе Старобазарний, буд. 0, Українськ, 03739;+380 24 829-39-42;usymonenko@example.org
Василашко Сніжана;Іванівна;жінка;22-02-1996;Фотограф;селище Лиман ;вулиця Новикова, буд. 882, Дніпрорудне, 77139;090 106 98 16;prokhir28@example.org
Андрейко Устим;Юрійович;чоловік;08-03-1944;Фольклорист;село Сніжне;парк Морський 2-й, буд. 12, Березне, 60367;600-97-98;saienkoiryna@example.com
Калениченко Амалія;Анатоліївна;жінка;17-09-1948;Медик;село Кадіївка;проспект Лесі Українки, буд. 39, Благовіщенське, 82922;+380 (38) 127-52-94;havrylo67@example.com
Ребрик Світлана;Іванівна;жінка;27-01-1963;Різноробочий;село Ялта;парк Посмітного, буд. 45, Вишневе , 08733;088 575 49 95;stefanzaika@example.com
Верховинець Софія;Вікторівна;жінка;25-04-1972;Хореограф;місто Корюківка;набережна Нечипуренка, буд. 08, Носівка, 99788;+380 85 033-90-83;ychalenko@example.org
Андрійчук Адам;Олександрович;чоловік;16-04-1999;Няня;хутір Соснівка ;провулок Глазунова 1-й, буд. 5, Охтирка, 76573;+380 04 887 86 96;solomiia66@example.org
Бездітко Ярина;Вікторівна;жінка;23-09-1952;Парфюмер;хутір Кам'янка-Дніпровська;вулиця Володі Дубініна, буд. 6, Камінь-Каширський, 91930;+380 36 731-88-19;prymachenkooleh@example.net
Теліженко Олег;Юрійович;чоловік;23-12-1956;Стоматолог;селище Білгород-Дністровський;проспект Світанку, буд. 3, Южноукраїнськ, 98867;+380 15 539-10-71;boryslavabramenko@example.org
Андрейко Яків;Юрійович;чоловік;31-01-1984;Астроном;селище Ялта;сквер Овідіопольський, буд. 29 кв. 1, Мукачево, 01191;797 05 98;leonid29@example.com
Вернидуб Оксенія;Махайлівна;жінка;06-12-1973;Редактор;хутір Карлівка;вулиця Цегельнозаводська, буд. 17, Чорноморськ, 08820;+380 81 535 56 75;zbabarychenko@example.net
Гоголь Олесь;Анатолійович;чоловік;27-10-1965;Акушер;місто Новомосковськ;сквер Круговий, буд. 839, Новий Розділ, 73750;+380 (99) 448-15-34;vzubko@example.com
Проценко Зиновій;Іванович;чоловік;24-09-2003;Письменник;селище Мерефа;узвіз Дачний 1-й, буд. 7, Івано-Франківськ, 05147;321-84-43;hlibshchors@example.org
Батуринець Камілла;Махайлівна;жінка;13-01-1953;Слідчий;село Кам'янське;парк Чапаєва, буд. 7 кв. 639, Бібрка, 84229;904 80 78;zisaienko@example.org
Михайлюк Розалія;Анатоліївна;жінка;20-06-1992;Фармацевт;хутір Керч;площа Саксаганського, буд. 773, Шаргород, 28270;+380 (78) 396-94-56;goberemko@example.com
Скирда Еріка;Василівна;жінка;10-08-1975;Актор;селище Бар;вулиця Лінія 49-та, буд. 6, Кодима, 81106;011 231 39 04;shvedchenkomykhailo@example.org
Баранець Людмила;Анатоліївна;жінка;04-06-1967;Електротехнік;хутір Деражня;набережна Виноградний, буд. 245, Новоселиця, 73983;+380 49 983 28 89;fastenkostefan@example.net
Рева Христина;Вікторівна;жінка;25-09-1997;Мінералог;місто Підгородне;провулок Орловський, буд. 59 кв. 74, Апостолове, 42602;+380 65 301 06 45;alahoda@example.net
Баштан Єфрем;Вікторович;чоловік;07-04-2005;Фольклорист;хутір Болград;провулок Вєтрова, буд. 33 кв. 5, Сторожинець, 89359;410 42 28;tymofii58@example.com
Їжак Андрій;Сергійович;чоловік;27-01-1983;Електротехнік;хутір Хрестівка;парк Закарпатська, буд. 39 кв. 64, Решетилівка, 18950;+380 31 190-75-61;maryna05@example.com
Вітер Аркадій;Іванович;чоловік;16-11-1965;Архітектор;хутір Алушта;вулиця Тракторна, буд. 381, Вовчанськ, 07247;+380 06 101-12-33;snizhana87@example.net
Тягнибок Ірена;Валеріївна;жінка;01-08-1945;Слідчий;селище Баранівка;узвіз Стельмаха, буд. 43, Березань , 08070;+380 31 178 62 69;opanaskyrylenko@example.net
Яковенко Аврелій;Юрійович;чоловік;17-04-1963;Електрослюсар;місто Снятин;набережна Воронезька, буд. 656, Сарни, 02340;+380 85 745-23-25;nazar17@example.com
Тихий Ольга;Григорівна;жінка;27-04-2006;Стиліст;село Хорол ;вулиця Проценка, буд. 56, Щолкіне, 24996;617-38-74;ivan29@example.com
Гайворонський Пріска;Вікторівна;жінка;07-09-1963;Графік;місто Петрово-Красносілля;шосе Балтський 6-й, буд. 17, Тиврів, 65593;+380 55 166-47-45;ydankevych@example.org
Хмара Станіслав;Анатолійович;чоловік;29-01-1988;Літературознавець;село Свалява;парк 13-та Суворовська, буд. 824, Луганськ, 64806;005 823-80-33;cprytula@example.com
Опанасенко Данна;Володимирівна;жінка;26-09-2005;Геофізик;хутір Ямпіль;площа Український 1-й, буд. 30, Золотоноша, 29609;037 468 06 84;lsirobaba@example.com
Височан Леонід;Олегович;чоловік;30-11-1937;Патологоанатом;селище Тараща;площа Рибальський, буд. 40 кв. 770, Андрушівка, 37208;926 87 81;irena06@example.com
Гузь Борислав;Махайлович;чоловік;23-06-1980;Ґрунтознавець;місто Волочиськ;шосе Білоруська, буд. 75, Сновськ, 30641;302-75-72;pavlyktetiana@example.net
Супруненко Лукʼян;Олександрович;чоловік;05-01-1943;Секретар;селище Старий Самбір;парк Маяковського, буд. 12 кв. 7, Камінь-Каширський, 91402;541 68 98;danylenkorostyslav@example.org
Фартушняк Назар;Володимирович;чоловік;07-03-1951;Математик;хутір Берегове;парк Моторний 3-й, буд. 57, Горлівка, 03369;038 533-78-40;kanivetspriska@example.net
Штокало Ярослава;Тимофіївна;жінка;25-03-1969;Хореограф;хутір Конотоп;шосе Соборна, буд. 25 кв. 1, Обухів, 84638;+380 (98) 372-99-51;andriitsymbal@example.com
Нестайко Микита;Валерійович;чоловік;22-06-1940;Інженер;місто Єнакієве;вулиця Юрженка Олександра, буд. 1 кв. 14, Свалява, 72196;061 772 86 46;chalyivasyl@example.com
Зінкевич Дмитро;Іванович;чоловік;22-01-1951;Нотаріус;місто Біла Церква;провулок Дюківський сад, буд. 68 кв. 370, Краматорськ, 79016;+380 (06) 417-73-91;xvysochan@example.net
Лаба Спас;Юрійович;чоловік;09-10-1977;Перекладач;селище Херсон;провулок Героїв Небесної Сотні, буд. 653 кв. 69, Ямпіль, 20191;056 796 59 60;spetliura@example.org
Бабиченко Демʼян;Анатолійович;чоловік;03-05-1960;Електрик;місто Рожище;узвіз Учнівська, буд. 9, Кобеляки, 22115;073 517-08-88;anastasiiatymchuk@example.com
Захаренко Клавдія;Володимирівна;жінка;12-11-1967;Ріелтор;село Щастя ;проспект Суперфосфатна, буд. 940, Луцьк, 19924;+380 (38) 448-61-93;roman77@example.org
Власюк Опанас;Олександрович;чоловік;07-03-1941;Реабілітолог;хутір Судак ;парк Вапняний 2-й, буд. 373 кв. 648, Вуглегірськ, 35709;+380 37 562-89-65;zynoviibabenko@example.com
Лисенко Юстим;Олегович;чоловік;08-01-2002;Юрист;місто Буринь;набережна Макарова, буд. 30 кв. 094, Львів, 01614;+380 43 200 95 77;qovcharenko@example.net
Бакуменко Гліб;Олегович;чоловік;30-09-1956;Складальник;хутір Охтирка;проспект Віри Інбер, буд. 5 кв. 17, Вовчанськ, 94466;500 37 10;kozachenkomartyn@example.net
Шведченко Богодар;Іванович;чоловік;24-03-1987;Мірошник;селище Чорнобиль;парк Юннатів, буд. 2 кв. 01, Кам'янка-Дніпровська, 09908;451-11-10;ihor73@example.net
Яремків Єва;Іванівна;жінка;10-12-1971;Вчитель;місто Сокиряни;парк Першотравневий 3-й, буд. 6 кв. 25, Дебальцеве, 83455;533-55-15;karassvitlana@example.com
Бабариченко Євген;Олександрович;чоловік;07-03-1938;Ріелтор;місто Щастя ;парк Псковська, буд. 6 кв. 63, Монастирище, 45823;854-92-88;valentyna05@example.com
Носенко Арсен;Володимирович;чоловік;12-11-1951;Драматург;хутір Богуслав;провулок Лінія 24-та, буд. 2 кв. 395, Прип'ять , 29694;+380 23 278 38 85;utymchuk@example.net
Бевз Одарка;Дмитрівна;жінка;05-12-1998;Стиліст;село Гадяч;провулок Чорноморський 12-й, буд. 753, Городище , 93720;+380 26 709-28-42;alevtyn56@example.net
Сагаль Григорій;Сергійович;чоловік;25-06-1942;Акушер;селище Чистякове;набережна Мічуріна, буд. 4 кв. 6, Вільнянськ, 65140;+380 71 879-92-97;wneporozhnii@example.com
Єрошенко Пантелеймон;Васильович;чоловік;10-08-1983;Хімік;хутір Богодухів;узвіз Новаторів, буд. 249 кв. 362, Чернівці, 42632;098 336-47-16;aarsenych@example.org
Кармалюк Лесь;Васильович;чоловік;04-02-1994;Пекар;місто Святогірськ;площа Вапняний 2-й, буд. 790 кв. 209, Старий Самбір, 02222;+380 05 836-71-73;ada11@example.org
Голобородько Варфоломій;Тимофійович;чоловік;22-07-1970;Клавішник;село Знам'янка;шосе Лиманний, буд. 976 кв. 06, Ірміно, 94661;+380 (63) 977-75-22;varfolomii81@example.com
Остапчук Опанас;Олегович;чоловік;26-09-1977;Кухар;хутір Слов'янськ;набережна Кінна, буд. 66 кв. 778, Березань , 56631;+380 36 284-12-04;iushchenkohordii@example.com
Дергач Альберт;Дмитрович;чоловік;12-12-1962;Будник;селище Молодогвардійськ;парк Чорноморський 10-й, буд. 623 кв. 105, Вільнянськ, 56400;+380 (97) 148-21-08;haidaada@example.net
Матяш Прохір;Тимофійович;чоловік;10-08-1979;Ґрунтознавець;селище Броди;набережна Уманська, буд. 0, Дніпро , 85331;089 002-12-06;varvara29@example.org
Гресь Лукʼян;Анатолійович;чоловік;06-06-1967;Складальник;село Бурштин ;проспект Бабеля, буд. 320, Радомишль, 55114;067 023-37-77;prokhir28@example.com
Ємельяненко Юхим;Дмитрович;чоловік;07-07-1981;Бібліотекар;місто Зугрес;проспект Яблочкіної, буд. 438 кв. 403, Знам'янка, 73117;+380 25 386-88-09;vasylynariaboshapka@example.net
Франчук Григорій;Сергійович;чоловік;21-11-1938;Краєзнавець;місто Інкерман;набережна Вчительська, буд. 686 кв. 96, Трускавець, 72382;378 52 38;zinchenkoiakiv@example.com
Артеменко Емілія;Григорівна;жінка;14-06-1951;Антрополог;селище Остер ;узвіз Сирітський 2-й, буд. 286, Іршава, 28015;647 21 80;ruslan45@example.org
Гресь Юстина;Валеріївна;жінка;29-05-1990;Інженер;хутір Городок;вулиця Любашівський, буд. 8, Зеленодольськ, 72959;011 708-74-14;nataliia83@example.org
Саєнко Володимир;Анатолійович;чоловік;02-02-2003;Електрослюсар;хутір Амвросіївка;проспект Аркаса Миколи, буд. 78, Каховка, 40564;+380 (31) 915-77-00;ada81@example.com
Архимович Давид;Анатолійович;чоловік;26-05-1950;Круп'є;хутір Олександрівськ;провулок Польова, буд. 13, Канів, 15347;286-01-10;knalyvaiko@example.net
Шамрай Емілія;Сергіївна;жінка;16-10-1976;Географ;селище Миколаїв;вулиця Ярморочна площа, буд. 55, Южне, 08820;+380 52 069-26-07;emiliia97@example.org
Пустовіт Адам;Анатолійович;чоловік;07-04-1970;Машиніст;місто Овруч;набережна Мечникова, буд. 1 кв. 31, Новоград-Волинський, 33929;078 14 14;hutsuliakiaroslav@example.net
Бгиденко Єлисей;Вікторович;чоловік;05-02-2008;Круп'є;хутір Камінь-Каширський;шосе Тупиковий, буд. 2 кв. 3, Армянськ, 54784;023 854-33-16;lukianhutsuliak@example.com
Верменич Кирило;Михайлович;чоловік;14-10-1953;Кур'єр;селище Винники;шосе Воронезька, буд. 44, Мала Виска, 01056;+380 10 371-34-87;arkadiishvachko@example.com
Кабалюк Роман;Валерійович;чоловік;07-12-1979;Продюсер;місто Докучаєвськ;шосе Тракторна, буд. 35 кв. 450, Перевальськ, 14948;052 229 73 20;bchmil@example.org
Сірко Євген;Григорович;чоловік;16-06-1977;Дипломат;селище Мерефа;провулок Лермонтовський 2-й, буд. 444 кв. 232, Хуст, 77049;+380 (71) 690-94-04;haidaburaveniiamyn@example.com
Їжак Альбіна;Олегівна;жінка;16-05-1970;Кур'єр;село Каховка;площа Старопортофранківська, буд. 4 кв. 1, Новий Розділ, 22688;+380 (33) 862-03-65;mariana91@example.org
Величко Богданна;Сергіївна;жінка;05-10-1981;Патологоанатом;місто Дружба ;площа Гаріна, буд. 03, Соснівка , 04382;966 70 79;marko07@example.org
Бабариченко Онисим;Вітальович;чоловік;28-02-1940;Машиніст;місто Лозова ;провулок Володимира Вінниченка, буд. 75 кв. 2, Переяслав, 60919;+380 (73) 279-94-36;shchyrytsiavadym@example.org
Михайличенко Валентин;Васильович;чоловік;28-07-1997;Штукатур;село Долинська;набережна Лейтенанта Шмідта, буд. 56, Івано-Франківськ, 94518;+380 57 732-53-01;frankoadam@example.net
Михайлюк Ярослава;Михайлівна;жінка;09-01-1968;Юрист;хутір Кременець;проспект Пересипська 3-тя, буд. 007, Вознесенськ, 39393;+380 55 468 24 48;bohuslav87@example.org
Іващенко Лукʼян;Іванович;чоловік;25-05-2007;Композитор;місто Львів;сквер Східчастий 4-й, буд. 98, Бахмут, 11971;+380 95 970-14-15;hsalii@example.org
Євдокименко Ірина;Юріївна;жінка;01-06-1958;Гінеколог;селище Вознесенівка;шосе Шкодова гора, буд. 3 кв. 628, Пирятин, 67895;+380 90 634-66-66;stefan02@example.net
Опанасенко Аніта;Віталівна;жінка;29-07-1988;Режисер;село Апостолове;провулок Заводська 2-га, буд. 19 кв. 6, Золотоноша, 89440;247-41-63;ohavryliv@example.net
Бебешко Алла;Махайлівна;жінка;27-01-2003;Співак;село Бердичів;сквер Газова, буд. 437, Чернігів, 88383;152 29 76;izhaksviatoslav@example.net
Орлик Олекса;Михайлович;чоловік;17-10-1948;Нотаріус;хутір Миронівка;провулок Садова 1-ша, буд. 07 кв. 91, Боярка, 20379;055 639 69 47;cprytula@example.org
Верховинець Василина;Миколайович;жінка;29-06-1951;Піаніст;село Глобине;набережна Перша, буд. 5, Коростень, 08341;064 283-32-35;fpetliura@example.com
Пʼятаченко Кирило;Вітальович;чоловік;10-05-1958;Інженер;хутір Новий Калинів;сквер Савранська, буд. 819, Скадовськ, 90398;809 10 35;eilchenko@example.com
Кабалюк Августин;Григорович;чоловік;21-08-1949;Інженер;селище Першотравенськ;вулиця 11-та ст. Великого Фонтану пляж, буд. 2 кв. 28, Олевськ, 97191;+380 46 680-55-13;shavryliuk@example.org
Скопенко Марʼяна;Олегівна;жінка;19-08-1977;Сценарист;селище Кам'янець-Подільський;сквер Пестеля, буд. 105 кв. 23, Кам'янка-Дніпровська, 92235;907 58 64;mykytaiashchuk@example.net
Вернигора Трохим;Дмитрович;чоловік;28-12-1965;Правник;хутір Хорол ;площа Купріна, буд. 953 кв. 106, Олександрівськ, 93912;374 56 97;onysymhaidabura@example.net
Кащенко Валентина;Андріївна;жінка;30-11-1937;Пілот;село Мелітополь;шосе Травневий, буд. 629, Бахмач, 08082;+380 23 982-24-86;vasylechkobohdan@example.net
Пустовіт Йосип;Григорович;чоловік;08-05-1995;Дерун;місто Сватове;провулок Дунаєвського, буд. 78 кв. 305, Калуш, 92763;+380 15 568-02-37;irena07@example.net
Голик Володимира;Махайлівна;жінка;17-02-2005;Реабілітолог;село Вижниця;сквер Соляний 4-й, буд. 4 кв. 28, Іршава, 29451;+380 06 987-76-92;liubovlaba@example.org
Мірошниченко Едуард;Григорович;чоловік;27-11-1941;Ді-джей;селище Ровеньки;сквер Танкерна, буд. 23, Люботин, 49231;047 714 39 18;iaroslavdzhus@example.org
